league,hfa.before,hfa.adjustment,hfa.now,home.pts,result.likelihood,mean.pts,min.pts,q025.pts,median.pts,q975.pts,max.pts,sd.pts,z.pts
Barclays Premier League,0.16146715843900988,0.8500000000000001,0.1372470846731584,60,0.5765,59.0591,32,44,59,74,86,7.390133192091986,0.1273184089573426
Barclays Premier League,0.16146715843900988,0.9,0.1453204425951089,60,0.5568,59.4188,33,45,59,74,92,7.324777935007977,0.07934711538792467
Barclays Premier League,0.16146715843900988,0.9500000000000001,0.1533938005170594,60,0.5285,59.9687,33,45,60,75,90,7.369894968395718,0.004247007607873014
Barclays Premier League,0.16146715843900988,1,0.16146715843900988,60,0.4993,60.4525,30,46,61,75,85,7.323080396981182,-0.06179093707431317
Barclays Premier League,0.16146715843900988,1.05,0.16954051636096037,60,0.4781,60.9049,33,47,61,75,87,7.324999764652229,-0.12353584014660511
Barclays Premier League,0.16146715843900988,1.1,0.1776138742829109,60,0.4571,61.3447,32,47,61,76,91,7.331088350009128,-0.18342433425977317
Barclays Premier League,0.16146715843900988,1.15,0.18568723220486136,60,0.4204,61.9599,33,48,62,76,87,7.25073439762694,-0.2703036537431911
Danish SAS-Ligaen,0.1283066494941306,0,0,60,0.4644,61.249,30,45,61,78,90,8.286221403421143,-0.15073215392052233
Danish SAS-Ligaen,0.1283066494941306,0.05,0.00641533247470653,60,0.4423,61.7302,26,46,62,78,94,8.283517949939066,-0.20887260828748866
Danish SAS-Ligaen,0.1283066494941306,0.1,0.01283066494941306,60,0.4201,62.2155,32,46,62,79,95,8.39885193472192,-0.2637860528104848
Danish SAS-Ligaen,0.1283066494941306,0.15000000000000002,0.01924599742411959,60,0.4015,62.6534,29,47,63,79,94,8.314396030869338,-0.31913322268371225
Danish SAS-Ligaen,0.1283066494941306,0.2,0.02566132989882612,60,0.3838,63.112,31,47,63,80,96,8.423345610571106,-0.3694494021585097
Danish SAS-Ligaen,0.1283066494941306,0.25,0.03207666237353265,60,0.3498,63.7117,32,48,64,80,97,8.311431350802936,-0.4465777124708402
Danish SAS-Ligaen,0.1283066494941306,0.30000000000000004,0.03849199484823918,60,0.3341,64.1417,34,48,64,81,94,8.402956746182133,-0.4928860310844482
Danish SAS-Ligaen,0.1283066494941306,0.35000000000000003,0.04490732732294571,60,0.3103,64.7164,35,48,65,81,93,8.337512965641807,-0.5656842777259697
Danish SAS-Ligaen,0.1283066494941306,0.4,0.05132265979765224,60,0.2967,65.0507,35,49,65,81,94,8.305614235731351,-0.6081067404107852
Danish SAS-Ligaen,0.1283066494941306,0.45,0.05773799227235877,60,0.2637,65.7727,37,49,66,82,100,8.466829597337071,-0.6818018401853263
Danish SAS-Ligaen,0.1283066494941306,0.5,0.0641533247470653,60,0.2514,66.1481,36,50,66,83,96,8.319320134407011,-0.7390147152256723
Danish SAS-Ligaen,0.1283066494941306,0.55,0.07056865722177183,60,0.2334,66.6438,35,50,67,83,98,8.421022082935783,-0.7889541120504698
Danish SAS-Ligaen,0.1283066494941306,0.6000000000000001,0.07698398969647836,60,0.2112,67.1694,37,50,67,83,98,8.39862830084375,-0.8536393971953417
Danish SAS-Ligaen,0.1283066494941306,0.65,0.08339932217118488,60,0.1979,67.4889,33,51,68,84,98,8.259013132317444,-0.906754824095872
Danish SAS-Ligaen,0.1283066494941306,0.7000000000000001,0.08981465464589142,60,0.1833,68.231,36,52,68,84,99,8.377138929590732,-0.9825550309217712
Danish SAS-Ligaen,0.1283066494941306,0.75,0.09622998712059794,60,0.1652,68.6869,39,52,69,85,98,8.310666345577276,-1.0452711778788881
Danish SAS-Ligaen,0.1283066494941306,0.8,0.10264531959530449,60,0.1513,69.1468,37,53,69,85,99,8.298875640331609,-1.1021734023278493
Danish SAS-Ligaen,0.1283066494941306,0.8500000000000001,0.10906065207001102,60,0.1378,69.6608,39,54,70,86,97,8.27509462659539,-1.1674549278205322
Danish SAS-Ligaen,0.1283066494941306,0.9,0.11547598454471754,60,0.1306,70.0369,33,54,70,86,101,8.383744217633948,-1.1971858562775435
Danish SAS-Ligaen,0.1283066494941306,0.9500000000000001,0.12189131701942407,60,0.1149,70.6057,42,54,71,87,105,8.364318483437204,-1.2679694132882575
Danish SAS-Ligaen,0.1283066494941306,1,0.1283066494941306,60,0.1103,70.9153,40,54,71,88,100,8.42584271112031,-1.2954549917712255
Danish SAS-Ligaen,0.1283066494941306,1.05,0.13472198196883714,60,0.0952,71.5097,42,55,72,88,99,8.328880052821834,-1.381902479925917
Danish SAS-Ligaen,0.1283066494941306,1.1,0.14113731444354366,60,0.0869,71.9863,39,55,72,88,102,8.400771964942312,-1.4268093515715743
Danish SAS-Ligaen,0.1283066494941306,1.15,0.14755264691825018,60,0.0751,72.5202,42,56,73,89,106,8.427579389684619,-1.4856223146737442
English League Championship,0.12306949419577295,0,0,56,0.2806,61.3748,32,45,61,78,93,8.426210599225861,-0.6378668010616537
English League Championship,0.12306949419577295,0.05,0.006153474709788648,56,0.2578,62.0184,32,46,62,78,96,8.36586278909836,-0.7193997979314981
English League Championship,0.12306949419577295,0.1,0.012306949419577296,56,0.2525,62.2059,32,46,62,79,93,8.356068907013505,-0.7426817644827219
English League Championship,0.12306949419577295,0.15000000000000002,0.018460424129365945,56,0.2318,62.6467,33,46,63,79,93,8.395673161979586,-0.7916816045317325
English League Championship,0.12306949419577295,0.2,0.02461389883915459,56,0.2189,63.0258,35,47,63,80,97,8.411136016074648,-0.8352973946174316
English League Championship,0.12306949419577295,0.25,0.03076737354894324,56,0.2019,63.4681,35,47,64,80,92,8.368117167469206,-0.8924468731188426
